jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2024/2";"WOMAN GmbH & Co KG";"Journalismus-Förderung";Woman;Magazin;"2. Abschnitt: § 6 QJF-G";"155884,49";"77942,25";"77942,24";"129903,74";"25980,75";;;;;;;;abgeschlossen;
"2024/2";"1000PS Internet GmbH";"Journalismus-Förderung";"www.1000PS.at";"Online-Medium";"2. Abschnitt: § 6 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/2";"Fivemedia GmbH";"Journalismus-Förderung";"www.5min.at";"Online-Medium";"2. Abschnitt: § 6 QJF-G";"87274,07";"43637,04";"43637,03";"67133,90";"20140,17";;;;;;;;abgeschlossen;
"2024/2";"oe24 GmbH";"Journalismus-Förderung";"www.oe24.at";"Online-Medium";"2. Abschnitt: § 6 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/2";"SALZBURG24 GmbH";"Journalismus-Förderung";"www.salzburg24.at";"Online-Medium";"2. Abschnitt: § 6 QJF-G";"81666,25";"40833,13";"40833,12";"58333,03";"23333,21";;;;;;;;abgeschlossen;
"2024/2";"VGN Medien Holding GmbH";"Journalismus-Förderung";Yachtrevue;Magazin;"2. Abschnitt: § 6 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/2";"Mediengruppe ""Österreich"" GmbH";"Journalismus-Förderung";Österreich;Tageszeitung;"2. Abschnitt: § 6 QJF-G";"590023,27";"295011,64";"295011,63";"536384,79";"53638,48";;;;;;;;abgeschlossen;
"2024/2";"Agrar Media Verlagsges.m.b.H.";"Journalismus-Förderung";"Österreichische BauernZeitung";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"32657,77";"16328,89";"16328,88";"32657,77";;;;;;;;;abgeschlossen;
"2024/2";"Medienhaus Wien - Forschung und Weiterbildung GmbH";Medienforschung;"Medienhaus Wien - Forschung und Weiterbildung GmbH";;"6. Abschnitt: § 16 QJF-G";"37000,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Digitaler Kompass - Institut für Nachrichtenkompetenz und digitale Bildung";"Medienpädagogikeinrichtungen";"Digitaler Kompass - Institut für Nachrichtenkompetenz und digitale Bildung";;"5. Abschnitt: § 12 QJF-G";"75516,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"MISCHA - Medien in Schule und Ausbildung, Verein zur Förderung der Nutzung von Zeitungen in der schulischen Ausbildung";"Medienpädagogikeinrichtungen";"MISCHA - Medien in Schule und Ausbildung, Verein zur Förderung der Nutzung von Zeitungen in der schulischen Ausbildung";;"5. Abschnitt: § 12 QJF-G";"209687,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Klub der Wirtschaftspublizisten";Presseclubs;"Klub der Wirtschaftspublizisten";;"6. Abschnitt: § 15 QJF-G";"5000,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"OÖ Presseclub";Presseclubs;"OÖ Presseclub";;"6. Abschnitt: § 15 QJF-G";"11250,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Presseclub Concordia - Vereinigung österreichischer Journalisten und Schriftsteller";Presseclubs;"Presseclub Concordia - Vereinigung österreichischer Journalisten und Schriftsteller";;"6. Abschnitt: § 15 QJF-G";"31250,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Steirischer Presseclub";Presseclubs;"Steirischer Presseclub";;"6. Abschnitt: § 15 QJF-G";"9375,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Verband der Auslandspresse in Wien";Presseclubs;"Verband der Auslandspresse in Wien";;"6. Abschnitt: § 15 QJF-G";"5625,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG";"Verteilung von Schüler-Abos";"""Die Presse"" Unabhängige Tageszeitung für Österreich";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"BVZ Burgenländische Volkszeitung GmbH";"Verteilung von Schüler-Abos";BVZ;Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"544,58";;;;;;;;;;;;abgeschlossen;
"2024/2";"STANDARD Verlagsgesellschaft m.b.H";"Verteilung von Schüler-Abos";"DER STANDARD";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
