jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2025";"NEUE Zeitungs GmbH";"Inhaltsvielfalts-Förderung";"NEUE Vorarlberger Tageszeitung";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"25938,35";"12969,15";"12969,15";;;;;;;"25938,35";"25938,35";;abgeschlossen;
"2025";"VGN Medien Holding GmbH";"Inhaltsvielfalts-Förderung";News;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"8853,95";"4427,00";"4427,00";;;;;;;"8853,95";",00";"8853,95";abgeschlossen;
"2025";"SloMedia - Slovenski medijski center - Slowenisches Medienzentrum GmbH";"Inhaltsvielfalts-Förderung";Novice;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"6803,27";"3401,65";"3401,66";;;;;;;"6803,27";"6803,27";;abgeschlossen;
"2025";"Niederösterreichisches Pressehaus Druck- und Verlagsgesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";NÖN;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"81254,78";"40627,40";"40627,40";;;;;;;"81254,78";"81254,78";;abgeschlossen;
"2025";"""Obersteirische Rundschau"" Medien GmbH";"Inhaltsvielfalts-Förderung";"Obersteirische Rundschau";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"5958,06";"2979,05";"2979,06";;;;;;;"5958,06";"5958,06";;abgeschlossen;
"2025";"Neu-Media GmbH";"Inhaltsvielfalts-Förderung";Oberösterreicherin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"9976,29";"4988,15";"4988,15";;;;;;;"9976,29";"9976,29";;abgeschlossen;
"2025";"Mediengruppe ""Österreich"" GmbH";"Inhaltsvielfalts-Förderung";"oe24/Österreich";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"153400,99";"76700,50";"76700,50";;;;;;;"153400,99";"102267,33";"51133,66";abgeschlossen;
"2025";"Osttiroler Bote Medienunternehmen GmbH";"Inhaltsvielfalts-Förderung";"Osttiroler Bote";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"6955,69";"3477,85";"3477,85";;;;;;;"6955,69";"6955,69";;abgeschlossen;
"2025";"OÖN Redaktion GmbH & Co KG";"Inhaltsvielfalts-Förderung";OÖNachrichten;Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"80623,46";"40311,75";"40311,75";;;;;;;"80623,46";"80623,46";;abgeschlossen;
"2025";"prima! Magazin e.U.";"Inhaltsvielfalts-Förderung";"prima! Magazin";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"2826,61";"1413,30";"1413,31";;;;;;;"2826,61";"2826,61";;abgeschlossen;
"2025";"Profil Redaktion GmbH";"Inhaltsvielfalts-Förderung";Profil;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"20139,63";"10069,80";"10069,80";;;;;;;"20139,63";;"20139,63";abgeschlossen;
"2025";"Oberländer Rundschau GmbH";"Inhaltsvielfalts-Förderung";Rundschau;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"17361,51";"8680,75";"8680,75";;;;;;;"17361,51";"17361,51";;abgeschlossen;
"2025";"Ordinariat der Erzdiözese Salzburg";"Inhaltsvielfalts-Förderung";"Rupertusblatt Wochenzeitung der Erzdiözese SAlzburg";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"4655,60";"2327,80";"2327,81";;;;;;;"4655,60";"4655,60";;abgeschlossen;
"2025";"RZ Regionalzeitungs GmbH";"Inhaltsvielfalts-Förderung";"RZ Regionalzeitungen";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"8036,45";"4018,25";"4018,25";;;;;;;"8036,45";"8036,45";;abgeschlossen;
"2025";"Salzburger Nachrichten Medien GmbH & Co.KG";"Inhaltsvielfalts-Förderung";"Salzburger Nachrichten";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"73275,48";"36637,75";"36637,75";;;;;;;"73275,48";"73275,48";;abgeschlossen;
"2025";"Salzburger Verlagshaus GmbH";"Inhaltsvielfalts-Förderung";"Salzburger Woche";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"31286,74";"15643,35";"15643,35";;;;;;;"31286,74";"31286,74";;abgeschlossen;
"2025";"Bischöfliches Ordinariat - Diözese Graz-Seckau";"Inhaltsvielfalts-Förderung";"SONNTAGSBLATT für Steiermark";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"10579,02";"5289,50";"5289,50";;;;;;;"10579,02";"7052,68";"3526,34";abgeschlossen;
"2025";"Die Steirerin Verlags GmbH & Co KG";"Inhaltsvielfalts-Förderung";Steirerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"10433,53";"5216,75";"5216,75";;;;;;;"10433,53";"10433,53";;abgeschlossen;
"2025";"Südwind Verein für Entwicklungspolitik und globale Gerechtigkeit, Kurzform: Südwind";"Inhaltsvielfalts-Förderung";"Südwind-Magazin";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"1447,95";"723,95";"723,96";;;;;;;"1447,95";;"1447,95";abgeschlossen;
"2025";"Comrades GmbH";"Inhaltsvielfalts-Förderung";"The Gap";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"2771,19";"1385,60";"1385,61";;;;;;;"2771,19";"2771,19";;abgeschlossen;
"2025";"TIPS Zeitungs GmbH & CoKG";"Inhaltsvielfalts-Förderung";TIPS;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"55915,01";"27957,50";"27957,50";;;;;;;"55915,01";"55915,01";;abgeschlossen;
"2025";"Diözese Innsbruck";"Inhaltsvielfalts-Förderung";"Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"3242,29";"1621,15";"1621,16";;;;;;;"3242,29";"3242,29";;abgeschlossen;
"2025";"Schlüsselverlag J.S. Moser GmbH";"Inhaltsvielfalts-Förderung";"Tiroler Tageszeitung";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"88807,14";"44403,55";"44403,55";;;;;;;"88807,14";"88807,14";;abgeschlossen;
"2025";"Tirolerin Verlags GmbH";"Inhaltsvielfalts-Förderung";Tirolerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"10918,49";"5459,25";"5459,25";;;;;;;"10918,49";"10918,49";;abgeschlossen;
"2025";"Rieder Magazin Verlags Gesellschaft m.b.H";"Inhaltsvielfalts-Förderung";"Unser Magazin DIE POSITIVE GRATISZEITUNG";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"3935,09";"1967,55";"1967,56";;;;;;;"3935,09";"3935,09";;abgeschlossen;
"2025";"Unterkärntner Nachrichten Verlags GmbH";"Inhaltsvielfalts-Förderung";"Unterkärntner Nachrichten";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"4156,79";"2078,40";"2078,41";;;;;;;"4156,79";"4156,79";;abgeschlossen;
"2025";"Diözese Feldkirch";"Inhaltsvielfalts-Förderung";"Vorarlberger KirchenBlatt";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"2909,75";"1454,90";"1454,91";;;;;;;"2909,75";"2909,75";;abgeschlossen;
"2025";"Russmedia Verlag GmbH";"Inhaltsvielfalts-Förderung";"Vorarlberger Nachrichten";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"73180,22";"36590,10";"36590,10";;;;;;;"73180,22";"73180,22";;abgeschlossen;
"2025";"Russmedia GmbH";"Inhaltsvielfalts-Förderung";Vorarlbergerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"5057,42";"2528,70";"2528,71";;;;;;;"5057,42";"5057,42";;abgeschlossen;
"2025";"vormagazin ges.m.b.h.";"Inhaltsvielfalts-Förderung";vormagazin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"6830,99";"3415,50";"3415,51";;;;;;;"6830,99";"6830,99";;abgeschlossen;
"2025";"Weekend Magazin GmbH";"Inhaltsvielfalts-Förderung";"Weekend Magazin OÖ";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"44778,98";"22389,50";"22389,50";;;;;;;"44778,98";"44778,98";;abgeschlossen;
"2025";"Wiener Bezirksblatt GmbH";"Inhaltsvielfalts-Förderung";"Wiener Bezirksblatt";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"12775,19";"6387,60";"6387,60";;;;;;;"12775,19";"12775,19";;abgeschlossen;
"2025";"Life Style Projekt GmbH";"Inhaltsvielfalts-Förderung";Wienerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"5874,92";"2937,45";"2937,46";;;;;;;"5874,92";"5874,92";;abgeschlossen;
"2025";"RMK Regionalmedien Kärnten GmbH";"Inhaltsvielfalts-Förderung";"Woche Kärnten / MeinBezirk Kärnten";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"48652,58";"24326,30";"24326,30";;;;;;;"48652,58";"48652,58";;abgeschlossen;
"2025";"Wochenzeitungs GmbH Steiermark";"Inhaltsvielfalts-Förderung";"WOCHE Steiermark / MeinBezirk Steiermark";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"59158,86";"29579,45";"29579,45";;;;;;;"59158,86";"59158,86";;abgeschlossen;
"2025";"Weizer Zeitung Gesellschaft m.b.H. & Co KG";"Inhaltsvielfalts-Förderung";"WOCHE Weiz/Birkfeld, Gleisdorf / MeinBezirk Steiermark";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"7038,82";"3519,40";"3519,40";;;;;;;"7038,82";"7038,82";;abgeschlossen;
"2025";"Fivemedia GmbH";"Inhaltsvielfalts-Förderung";"www.5min.at";"Online-Medium";"3. Abschnitt: §§ 7, 8 QJF-G";"22141,81";"11070,90";"11070,90";;;;;;;"22141,81";"22141,81";;abgeschlossen;
"2025";"SALZBURG24 GmbH";"Inhaltsvielfalts-Förderung";"www.salzburg24.at";"Online-Medium";"3. Abschnitt: §§ 7, 8 QJF-G";"10350,40";"5175,20";"5175,20";;;;;;;"10350,40";"10350,40";;abgeschlossen;
"2025";"Agrar Media Verlagsgesellschaft mbH";"Inhaltsvielfalts-Förderung";"Österreichische BauernZeitung";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"10045,57";"5022,80";"5022,80";;;;;;;"10045,57";"10045,57";;abgeschlossen;
"2025";"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG";"Journalismus-Förderung";"""Die Presse"" Unabhängige Tageszeitung für Österreich";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"743301,67";"371650,85";"371650,85";"571770,51";"171531,15";"57177,05";"57177,05";"57177,05";;;;;abgeschlossen;
"2025";"Verein zur Förderung einer Straßenzeitung in Tirol";"Journalismus-Förderung";"20er - Die Tiroler Strassenzeitung";Magazin;"2. Abschnitt: § 6 QJF-G";"18308,43";"9154,20";"9154,21";"18308,43";;;;;;;;;abgeschlossen;
"2025";"Camu Camu Media GmbH";"Journalismus-Förderung";APONOVUM;Magazin;"2. Abschnitt: § 6 QJF-G";",00";",00";",00";",00";;;;;;;;;"Förderung abgelehnt";"Ablehnung gemäß § 4 Abs 1 Z 1 QJF-G"
"2025";"Sand und Zeit, Herausgabe und Vertrieb der Straßenzeitung AUGUSTIN";"Journalismus-Förderung";Augustin;Magazin;"2. Abschnitt: § 6 QJF-G";"21028,54";"10514,25";"10514,26";"17523,78";"3504,76";"1752,38";;;"1752,38";;;;abgeschlossen;
"2025";"Badener Zeitungsverlag GmbH";"Journalismus-Förderung";"Badener Zeitung";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"14254,42";"7127,20";"7127,21";"14254,42";;;;;;;;;abgeschlossen;
"2025";"Bezirksblätter Burgenland Verlag GmbH";"Journalismus-Förderung";"Bezirksblätter Burgenland / Mein Bezirk Burgenland";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"236178,70";"118089,35";"118089,35";"168699,07";"67479,63";"16869,91";"16869,91";"16869,91";"16869,91";;;;abgeschlossen;
"2025";"RegionalMedien Niederösterreich GmbH";"Journalismus-Förderung";"Bezirksblätter Niederösterreich / MeinBezirk Niederösterreich";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"449134,30";"224567,15";"224567,15";"320810,21";"128324,09";"32081,02";"32081,02";"32081,02";"32081,02";;;;abgeschlossen;
"2025";"RegionalMedien Salzburg GmbH";"Journalismus-Förderung";"Bezirksblätter Salzburg / MeinBezirk Salzburg";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"234988,65";"117494,30";"117494,30";"167849,04";"67139,61";"16784,90";"16784,90";"16784,90";"16784,90";;;;abgeschlossen;
"2025";"RegionalMedien Inntal GmbH";"Journalismus-Förderung";"Bezirksblätter Tirol (Schwaz, Kufstein, Kitzbühel) / MeinBezirk Tirol";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"98773,96";"49387,00";"49387,00";"70552,83";"28221,13";"7055,28";"7055,28";"7055,28";"7055,28";;;;abgeschlossen;
"2025";"RegionalMedien Tirol GmbH";"Journalismus-Förderung";"Bezirksblätter Tirol / MeinBezirk Tirol";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"329568,83";"164784,40";"164784,40";"235406,31";"94162,52";"23540,63";"23540,63";"23540,63";"23540,63";;;;abgeschlossen;
"2025";"RegionalMedien Oberösterreich GmbH";"Journalismus-Förderung";"BezirksRundSchau Oberösterreich";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"331226,40";"165613,20";"165613,20";"254789,54";"76436,86";;"25478,95";"25478,95";"25478,95";;;;abgeschlossen;
"2025";"bz Wiener Bezirkszeitung GmbH";"Journalismus-Förderung";"BezirksZeitung Wien / MeinBezirk Wien";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"317622,59";"158811,30";"158811,30";"226873,28";"90749,31";"22687,33";"22687,33";"22687,33";"22687,33";;;;abgeschlossen;
"2025";"BVZ Burgenländische Volkszeitung GmbH";"Journalismus-Förderung";BVZ;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"80465,53";"40232,75";"40232,75";"57475,38";"22990,15";"5747,54";"5747,54";"5747,54";"5747,54";;;;abgeschlossen;
"2025";"Zielgruppen-Zeitungsverlags GmbH";"Journalismus-Förderung";ChefInfo;Magazin;"2. Abschnitt: § 6 QJF-G";"126798,93";"63399,45";"63399,45";"105665,77";"21133,15";"10566,58";"10566,58";;;;;;abgeschlossen;
"2025";"Media 21 GmbH";"Journalismus-Förderung";"der Grazer";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"76712,31";"38356,15";"38356,15";"54794,50";"21917,80";"5479,45";"5479,45";"5479,45";"5479,45";;;;abgeschlossen;
"2025";"Wiener Dom-Verlag Gesellschaft m.b.H.";"Journalismus-Förderung";"Der SONNTAG";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"14842,90";"7421,45";"7421,46";"14842,90";;;;;;;;;abgeschlossen;
"2025";"STANDARD Verlagsgesellschaft m.b.H";"Journalismus-Förderung";"DER STANDARD";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"924850,15";"462425,05";"462425,05";"660607,25";"264242,90";"66060,72";"66060,72";"66060,72";"66060,72";;;;abgeschlossen;
"2025";"Die Furche-Zeitschriften-Betriebsgesellschaft m.b.H & Co KG";"Journalismus-Förderung";"DIE FURCHE";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"77310,60";"38655,30";"38655,30";"59469,69";"17840,91";;"5946,97";"5946,97";"5946,97";;;;abgeschlossen;
"2025";"Dossier GmbH";"Journalismus-Förderung";"DOSSIER Magazin";Magazin;"2. Abschnitt: § 6 QJF-G";"23617,87";"11808,95";"11808,96";"16869,91";"6747,96";"1686,99";"1686,99";"1686,99";"1686,99";;;;abgeschlossen;
"2025";"Falter - Zeitschriften Gesellschaft m.b.H.";"Journalismus-Förderung";"FALTER Die Wochenzeitung aus Wien.";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"147232,44";"73616,20";"73616,20";"133847,67";"13384,77";;"13384,77";;;;;;abgeschlossen;
"2025";"Wailand und Waldstein Gesellschaft m.b.H.";"Journalismus-Förderung";GEWINN;Magazin;"2. Abschnitt: § 6 QJF-G";"47902,69";"23951,35";"23951,35";"43547,90";"4354,79";"4354,79";;;;;;;abgeschlossen;
"2025";"AHVV Verlags GmbH";"Journalismus-Förderung";HEUTE;Tageszeitung;"2. Abschnitt: § 6 QJF-G";"524178,41";"262089,20";"262089,20";"436815,35";"87363,07";;"43681,53";"43681,53";;;;;abgeschlossen;
"2025";"Kroatischer Presseverein (Hrvatsko stamparsko drustvo)";"Journalismus-Förderung";"Hrvatske novine";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"24912,54";"12456,25";"12456,26";"24912,54";;;;;;;;;abgeschlossen;
"2025";"Kirchenblatt für die Diözese St. Pölten";"Journalismus-Förderung";"Kirche bunt - St. Pöltner Kirchenzeitung";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"13077,45";"6538,70";"6538,71";"13077,45";;;;;;;;;abgeschlossen;
"2025";"Diözese Linz";"Journalismus-Förderung";"Kirchenzeitung Diözese Linz";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"43371,35";"21685,70";"21685,70";"39428,50";"3942,85";"3942,85";;;;;;;abgeschlossen;
"2025";"Kitzbüheler Anzeiger Gesellschaft m.b.H.";"Journalismus-Förderung";"Kitzbüheler Anzeiger";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"40782,02";"20391,00";"20391,00";"37074,56";"3707,46";"3707,46";",00";",00";",00";;;;abgeschlossen;
"2025";"Kleine Zeitung GmbH";"Journalismus-Förderung";"Kleine Zeitung";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"1007077,87";"503538,95";"503538,95";"774675,28";"232402,58";"77467,53";"77467,53";"77467,53";;;;;abgeschlossen;
"2025";"Twist Zeitschriften Verlag GmbH";"Journalismus-Förderung";Kosmo;Magazin;"2. Abschnitt: § 6 QJF-G";"32039,75";"16019,85";"16019,86";"32039,75";;;;;;;;;abgeschlossen;
"2025";"KRONE - Verlag Gesellschaft m.b.H. & Co. KG";"Journalismus-Förderung";"Kronen Zeitung";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"1491565,41";"745782,70";"745782,70";"1147358,01";"344207,40";"114735,80";"114735,80";",00";"114735,80";;;;abgeschlossen;
"2025";"KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.";"Journalismus-Förderung";KURIER;Tageszeitung;"2. Abschnitt: § 6 QJF-G";"1056499,17";"528249,60";"528249,60";"754642,27";"301856,91";"75464,23";"75464,23";"75464,23";"75464,23";;;;abgeschlossen;
"2025";"Kärntner Monat Zeitungs-GmbH";"Journalismus-Förderung";"Kärntner Monat";Magazin;"2. Abschnitt: § 6 QJF-G";"24598,68";"12299,35";"12299,36";"22362,43";"2236,24";;;;"2236,24";;;;abgeschlossen;
"2025";"""Leibnitz Aktuell"" Zeitungsverlagsgesellschaft mit beschränkter Haftung";"Journalismus-Förderung";"Leibnitz Aktuell";Magazin;"2. Abschnitt: § 6 QJF-G";",00";",00";",00";",00";",00";",00";;;;;;;"Förderung abgelehnt";"Ablehnung gemäß § 4 Abs. 6 Z 1 iVm § 2 Z 2 QJF-G"
"2025";"NEUE Zeitungs GmbH";"Journalismus-Förderung";"NEUE Vorarlberger Tageszeitung";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"171366,87";"85683,45";"85683,45";"122404,91";"48961,96";"12240,49";"12240,49";"12240,49";"12240,49";;;;abgeschlossen;
"2025";"VGN Medien Holding GmbH";"Journalismus-Förderung";News;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"108634,35";"54317,20";"54317,20";"83564,89";"25069,47";;"8356,49";"8356,49";"8356,49";;;;abgeschlossen;
"2025";"SloMedia - Slovenski medijski center - Slowenisches Medienzentrum GmbH";"Journalismus-Förderung";Novice;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"32105,13";"16052,55";"16052,56";"32105,13";;;;;;;;;abgeschlossen;
"2025";"Niederösterreichisches Pressehaus Druck- und Verlagsgesellschaft m.b.H.";"Journalismus-Förderung";NÖN;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"536825,94";"268412,95";"268412,95";"383447,10";"153378,84";"38344,71";"38344,71";"38344,71";"38344,71";;;;abgeschlossen;
"2025";"""Obersteirische Rundschau"" Medien GmbH";"Journalismus-Förderung";"Obersteirische Rundschau";Magazin;"2. Abschnitt: § 6 QJF-G";"30928,16";"15464,10";"15464,11";"28116,51";"2811,65";"2811,65";;;;;;;abgeschlossen;
"2025";"Neu-Media GmbH";"Journalismus-Förderung";Oberösterreicherin;Magazin;"2. Abschnitt: § 6 QJF-G";"51786,69";"25893,35";"25893,35";"47078,81";"4707,88";;;;"4707,88";;;;abgeschlossen;
"2025";"Mediengruppe ""Österreich"" GmbH";"Journalismus-Förderung";"oe24/Österreich";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"675649,58";"337824,80";"337824,80";"482606,84";"193042,74";"48260,68";"48260,68";"48260,68";"48260,68";;;;abgeschlossen;
"2025";"Osttiroler Bote Medienunternehmen GmbH";"Journalismus-Förderung";"Osttiroler Bote";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"32824,39";"16412,20";"16412,20";"32824,39";;;;;;;;;abgeschlossen;
"2025";"OÖN Redaktion GmbH & Co KG";"Journalismus-Förderung";OÖNachrichten;Tageszeitung;"2. Abschnitt: § 6 QJF-G";"532655,05";"266327,55";"266327,55";"380467,89";"152187,16";"38046,79";"38046,79";"38046,79";"38046,79";;;;abgeschlossen;
"2025";"prima! Magazin e.U.";"Journalismus-Förderung";"prima! Magazin";Magazin;"2. Abschnitt: § 6 QJF-G";"18674,59";"9337,30";"9337,31";"13339,00";"5335,60";"1333,90";"1333,90";"1333,90";"1333,90";;;;abgeschlossen;
"2025";"Profil Redaktion GmbH";"Journalismus-Förderung";Profil;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"266112,97";"133056,50";"133056,50";"190080,70";"76032,28";"19008,07";"19008,07";"19008,07";"19008,07";;;;abgeschlossen;
"2025";"Oberländer Rundschau GmbH";"Journalismus-Förderung";Rundschau;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"114702,29";"57351,15";"57351,15";"81930,21";"32772,08";"8193,02";"8193,02";"8193,02";"8193,02";;;;abgeschlossen;
"2025";"Ordinariat der Erzdiözese Salzburg";"Journalismus-Förderung";"Rupertusblatt Wochenzeitung der Erzdiözese SAlzburg";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"21970,11";"10985,05";"10985,06";"21970,11";;;;;;;;;abgeschlossen;
"2025";"RZ Regionalzeitungs GmbH";"Journalismus-Förderung";"RZ Regionalzeitungen";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"53094,44";"26547,20";"26547,20";"37924,60";"15169,84";"3792,46";"3792,46";"3792,46";"3792,46";;;;abgeschlossen;
"2025";"Salzburger Nachrichten Medien GmbH & Co.KG";"Journalismus-Förderung";"Salzburger Nachrichten";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"414950,67";"207475,35";"207475,35";"345792,23";"69158,45";;"34579,22";"34579,22";;;;;abgeschlossen;
"2025";"Salzburger Verlagshaus GmbH";"Journalismus-Förderung";"Salzburger Woche";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"147644,38";"73822,20";"73822,20";"147644,38";;;;;;;;;abgeschlossen;
"2025";"CRM Medientrend GmbH";"Journalismus-Förderung";"schau Magazin";Magazin;"2. Abschnitt: § 6 QJF-G";"31320,49";"15660,25";"15660,26";"31320,49";;;;;;;;;abgeschlossen;
"2025";"Bischöfliches Ordinariat - Diözese Graz-Seckau";"Journalismus-Förderung";"SONNTAGSBLATT für Steiermark";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"33282,10";"16641,05";"16641,05";"33282,10";;;;;;;;;abgeschlossen;
"2025";"Die Steirerin Verlags GmbH & Co KG";"Journalismus-Förderung";Steirerin;Magazin;"2. Abschnitt: § 6 QJF-G";"54160,25";"27080,10";"27080,10";"49236,59";"4923,66";;;;"4923,66";;;;abgeschlossen;
"2025";"Südwind Verein für Entwicklungspolitik und globale Gerechtigkeit, Kurzform: Südwind";"Journalismus-Förderung";"Südwind-Magazin";Magazin;"2. Abschnitt: § 6 QJF-G";"19132,31";"9566,15";"9566,16";"13665,93";"5466,37";"1366,59";"1366,59";"1366,59";"1366,59";;;;abgeschlossen;
"2025";"Comrades GmbH";"Journalismus-Förderung";"The Gap";Magazin;"2. Abschnitt: § 6 QJF-G";"14385,19";"7192,60";"7192,61";"13077,45";"1307,74";"1307,74";;;;;;;abgeschlossen;
"2025";"TIPS Zeitungs GmbH & CoKG";"Journalismus-Förderung";TIPS;Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"369413,69";"184706,85";"184706,85";"263866,92";"105546,77";"26386,69";"26386,69";"26386,69";"26386,69";;;;abgeschlossen;
"2025";"Diözese Innsbruck";"Journalismus-Förderung";"Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"15300,61";"7650,30";"7650,31";"15300,61";;;;;;;;;abgeschlossen;
"2025";"Schlüsselverlag J.S. Moser GmbH";"Journalismus-Förderung";"Tiroler Tageszeitung";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"544813,40";"272406,70";"272406,70";"419087,23";"125726,17";;"41908,72";"41908,72";"41908,72";;;;abgeschlossen;
"2025";"Tirolerin Verlags GmbH";"Journalismus-Förderung";Tirolerin;Magazin;"2. Abschnitt: § 6 QJF-G";"56677,66";"28338,85";"28338,85";"51525,14";"5152,51";;;;"5152,51";;;;abgeschlossen;
"2025";"VGN Medien Holding GmbH";"Journalismus-Förderung";Trend;Magazin;"2. Abschnitt: § 6 QJF-G";"91208,66";"45604,35";"45604,35";"70160,50";"21048,15";;"7016,05";"7016,05";"7016,05";;;;abgeschlossen;
"2025";"VGN Medien Holding GmbH";"Journalismus-Förderung";"TV Media";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"122064,89";"61032,45";"61032,45";"93896,07";"28168,82";;"9389,61";"9389,61";"9389,61";;;;abgeschlossen;
"2025";"Rieder Magazin Verlags Gesellschaft m.b.H";"Journalismus-Förderung";"Unser Magazin DIE POSITIVE GRATISZEITUNG";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"22283,97";"11142,00";"11142,01";"18569,98";"3714,00";;"1857,00";"1857,00";;;;;abgeschlossen;
"2025";"Unterkärntner Nachrichten Verlags GmbH";"Journalismus-Förderung";"Unterkärntner Nachrichten";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"19616,17";"9808,10";"9808,11";"19616,17";;;;;;;;;abgeschlossen;
"2025";"Diözese Feldkirch";"Journalismus-Förderung";"Vorarlberger KirchenBlatt";Wochenzeitung;"2. Abschnitt: § 6 QJF-G";"13731,32";"6865,65";"6865,66";"13731,32";;;;;;;;;abgeschlossen;
"2025";"Russmedia Verlag GmbH";"Journalismus-Förderung";"Vorarlberger Nachrichten";Tageszeitung;"2. Abschnitt: § 6 QJF-G";"483479,76";"241739,90";"241739,90";"345342,69";"138137,08";"34534,27";"34534,27";"34534,27";"34534,27";;;;abgeschlossen;
